compound_id	SMILES	pic50
94	Cn1cc(-c2ccccc2)nc1CCc1nc(-c2ccccc2)cc(=O)[nH]1	6.00525052815499
95	CN(c1cncnc1)c1ccc(C2CC2)nc1C(=O)N[C@@H]1CCN(c2ccc(Br)cn2)C1	5.07869738157728
96	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCF)c3)nc2c1	9.06837664841092
97	COc1ccc(Cn2nc(N3CCCC3)nc2CCc2nc3c(Cl)cc(Cl)c(C)n3n2)cc1	9.19750379298012
98	Cn1cc(-c2ccccc2)nc1CCc1nc2ccccc2nc1N1CCCC1	8.46338009343528
99	Cc1cc(CNC(=O)c2cnn(C)c2C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)n[nH]1	7.77723152065142
100	Cn1cc(-c2ccccc2)nc1COc1nc(OC2CCOCC2)c2cc(Cl)ccc2n1	7.80617997398389
101	O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(NC2CC2)c1	8.21317431115344
102	O=C(NCCc1cnc(-c2ccccc2)[nH]1)c1nc(C2CC2)ccc1Nc1cncnc1	8.67545125505118
103	O=C(Nc1cc(-c2ccccn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1	8.64723880827617
104	CC(C)(C)n1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	7.89167180573382
105	COc1cccc(-c2cn3ccc(NC(=O)c4c(C(=O)N(C)CCOCCF)cnn4C)nc3n2)c1	6.65390533150204
106	Cc1c(C(F)(F)F)nc2ccc(C#Cc3nc(-c4ccccc4)cn3C)nn12	8.72676716595695
107	CCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1	9.00612308505879
108	Cn1cc(-c2ccccc2)nc1COc1cc(N2CCOCC2)nc(-c2ccn[nH]2)n1	6.43033002823855
109	Cc1nc2ccc(CCc3nc(-c4ccccn4)cn3C)nn2c1C	8.48227640516626
110	CN(C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2c(nc(-c3ccccc3)c2Cl)C1)C1CC1	7.28237941877283
111	COC1CN(C(=O)c2cnn(C)c2C(=O)Nc2ccn3nc(-c4cccc(F)c4)nc3c2)C1	8.32827191176044
112	COCCN(C)C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3)nc2C1	7.47224124747903
113	Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.49141219661006
114	Cc1cccc(-c2cn3c(n2)C[C@H](NC(=O)c2c(C(=O)N(C)C4CC4)cnn2C)CC3)c1	8.06925467168889
115	Cn1c(Cl)nc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	9.34325621306762
116	CC(C)Oc1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1	7.18752784332437
117	Cn1nc(N2CCCC2)nc1CCc1nc2cccc(C(F)(F)F)n2n1	7.24724495752932
118	O=C(N[C@@H]1C[C@@H](CO)N(c2ccc(Cl)cn2)C1)c1nc(C2CC2)ccc1Nc1cncnc1	8.62874737087506
119	Cc1c(Cl)cc(OCC(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	9.30419727455691
120	COc1ccccc1-c1nc2cc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)ccn2n1	9.21908531391868
121	Cc1c(CO)nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn12	6.44030758401498
122	Cc1c(C#N)nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn12	8.27140275661657
123	COc1c(Cl)ccc2nc(CCc3nc(-c4ccccc4)cn3C)[nH]c(=O)c12	7.48040824268939
124	Cn1nc(-c2ccc(Cl)cn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.49990080808428
125	Cn1ncc(C(=O)N(CCO)CCO)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	8.39968067024834
126	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2cc(-c3cccc(O)c3)nc2n1	8.47069800221202
127	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C3CC3)nn12	9.14508697769214
128	Cc1c(C(N)=O)nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn12	6.94112245296949
129	Cc1nc(CCc2nc(-c3ccccc3)cn2C)nc2ccccc12	8.28017276316831
130	COc1ccccc1-c1cn(C)c(CCNC(=O)c2c(C(=O)N3CCC3)cnn2C)n1	8.77057415207931
131	CC(=O)O.O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1c(C(=O)N2CCC2)cnn1CCF	5.87302939991578
132	O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(N2CCCC2)c1	7.31631458540681
133	CN(C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3)nc2C1)C1CC1	8.3668346463161
